Date + hour (YYYYMMDDHH),Views
"Jan 8, 2025, 8AM",329
"Jan 8, 2025, 9AM",423
"Jan 8, 2025, 10AM",457
"Jan 8, 2025, 11AM",447
"Jan 8, 2025, 12PM",429
"Jan 8, 2025, 1PM",581
"Jan 8, 2025, 2PM",562
"Jan 8, 2025, 3PM",673
"Jan 8, 2025, 4PM",580
"Jan 8, 2025, 5PM",479
"Jan 8, 2025, 6PM",445
"Jan 8, 2025, 7PM",497
"Jan 8, 2025, 8PM",722
"Jan 8, 2025, 9PM",557
"Jan 8, 2025, 10PM",510
"Jan 8, 2025, 11PM",250
"Jan 9, 2025, 12AM",155
"Jan 9, 2025, 1AM",91
"Jan 9, 2025, 2AM",35
"Jan 9, 2025, 3AM",34
"Jan 9, 2025, 4AM",35
"Jan 9, 2025, 5AM",68
"Jan 9, 2025, 6AM",207
"Jan 9, 2025, 7AM",333
"Jan 9, 2025, 8AM",404
"Jan 9, 2025, 9AM",659
"Jan 9, 2025, 10AM",1274
"Jan 9, 2025, 11AM",1269
"Jan 9, 2025, 12PM",508
"Jan 9, 2025, 1PM",666
"Jan 9, 2025, 2PM",731
"Jan 9, 2025, 3PM",660
"Jan 9, 2025, 4PM",720
"Jan 9, 2025, 5PM",668
"Jan 9, 2025, 6PM",638
"Jan 9, 2025, 7PM",823
"Jan 9, 2025, 8PM",971
"Jan 9, 2025, 9PM",777
"Jan 9, 2025, 10PM",632
"Jan 9, 2025, 11PM",344
"Jan 10, 2025, 12AM",250
"Jan 10, 2025, 1AM",96
"Jan 10, 2025, 2AM",70
"Jan 10, 2025, 3AM",83
"Jan 10, 2025, 4AM",94
"Jan 10, 2025, 5AM",147
"Jan 10, 2025, 6AM",385
"Jan 10, 2025, 7AM",366
"Jan 10, 2025, 8AM",558
"Jan 10, 2025, 9AM",563
"Jan 10, 2025, 10AM",508
"Jan 10, 2025, 11AM",541
"Jan 10, 2025, 12PM",554
"Jan 10, 2025, 1PM",564
"Jan 10, 2025, 2PM",577
"Jan 10, 2025, 3PM",621
"Jan 10, 2025, 4PM",605
"Jan 10, 2025, 5PM",636
"Jan 10, 2025, 6PM",540
"Jan 10, 2025, 7PM",698
"Jan 10, 2025, 8PM",999
"Jan 10, 2025, 9PM",727
"Jan 10, 2025, 10PM",679
"Jan 10, 2025, 11PM",415
"Jan 11, 2025, 12AM",258
"Jan 11, 2025, 1AM",171
"Jan 11, 2025, 2AM",106
"Jan 11, 2025, 3AM",91
"Jan 11, 2025, 4AM",113
"Jan 11, 2025, 5AM",187
"Jan 11, 2025, 6AM",297
"Jan 11, 2025, 7AM",267
"Jan 11, 2025, 8AM",343
"Jan 11, 2025, 9AM",459
"Jan 11, 2025, 10AM",575
"Jan 11, 2025, 11AM",633
"Jan 11, 2025, 12PM",532
"Jan 11, 2025, 1PM",588
"Jan 11, 2025, 2PM",630
"Jan 11, 2025, 3PM",603
"Jan 11, 2025, 4PM",651
"Jan 11, 2025, 5PM",631
"Jan 11, 2025, 6PM",754
"Jan 11, 2025, 7PM",594
"Jan 11, 2025, 8PM",709
"Jan 11, 2025, 9PM",821
"Jan 11, 2025, 10PM",669
"Jan 11, 2025, 11PM",367
"Jan 12, 2025, 12AM",204
"Jan 12, 2025, 1AM",164
"Jan 12, 2025, 2AM",60
"Jan 12, 2025, 3AM",60
"Jan 12, 2025, 4AM",113
"Jan 12, 2025, 5AM",88
"Jan 12, 2025, 6AM",232
"Jan 12, 2025, 7AM",287
