Date + hour (YYYYMMDDHH),Views
"Jan 8, 2025, 7AM",191
"Jan 8, 2025, 8AM",347
"Jan 8, 2025, 9AM",535
"Jan 8, 2025, 10AM",690
"Jan 8, 2025, 11AM",874
"Jan 8, 2025, 12PM",912
"Jan 8, 2025, 1PM",788
"Jan 8, 2025, 2PM",1057
"Jan 8, 2025, 3PM",938
"Jan 8, 2025, 4PM",963
"Jan 8, 2025, 5PM",886
"Jan 8, 2025, 6PM",813
"Jan 8, 2025, 7PM",732
"Jan 8, 2025, 8PM",753
"Jan 8, 2025, 9PM",963
"Jan 8, 2025, 10PM",850
"Jan 8, 2025, 11PM",565
"Jan 9, 2025, 12AM",334
"Jan 9, 2025, 1AM",197
"Jan 9, 2025, 2AM",92
"Jan 9, 2025, 3AM",62
"Jan 9, 2025, 4AM",40
"Jan 9, 2025, 5AM",50
"Jan 9, 2025, 6AM",70
"Jan 9, 2025, 7AM",222
"Jan 9, 2025, 8AM",276
"Jan 9, 2025, 9AM",703
"Jan 9, 2025, 10AM",912
"Jan 9, 2025, 11AM",1089
"Jan 9, 2025, 12PM",973
"Jan 9, 2025, 1PM",987
"Jan 9, 2025, 2PM",1014
"Jan 9, 2025, 3PM",1106
"Jan 9, 2025, 4PM",967
"Jan 9, 2025, 5PM",1037
"Jan 9, 2025, 6PM",990
"Jan 9, 2025, 7PM",912
"Jan 9, 2025, 8PM",992
"Jan 9, 2025, 9PM",1138
"Jan 9, 2025, 10PM",933
"Jan 9, 2025, 11PM",567
"Jan 10, 2025, 12AM",487
"Jan 10, 2025, 1AM",229
"Jan 10, 2025, 2AM",117
"Jan 10, 2025, 3AM",84
"Jan 10, 2025, 4AM",65
"Jan 10, 2025, 5AM",74
"Jan 10, 2025, 6AM",128
"Jan 10, 2025, 7AM",248
"Jan 10, 2025, 8AM",589
"Jan 10, 2025, 9AM",866
"Jan 10, 2025, 10AM",1144
"Jan 10, 2025, 11AM",1456
"Jan 10, 2025, 12PM",1260
"Jan 10, 2025, 1PM",952
"Jan 10, 2025, 2PM",1192
"Jan 10, 2025, 3PM",1213
"Jan 10, 2025, 4PM",1140
"Jan 10, 2025, 5PM",1097
"Jan 10, 2025, 6PM",1032
"Jan 10, 2025, 7PM",1023
"Jan 10, 2025, 8PM",1171
"Jan 10, 2025, 9PM",1282
"Jan 10, 2025, 10PM",1124
"Jan 10, 2025, 11PM",828
"Jan 11, 2025, 12AM",514
"Jan 11, 2025, 1AM",311
"Jan 11, 2025, 2AM",146
"Jan 11, 2025, 3AM",85
"Jan 11, 2025, 4AM",65
"Jan 11, 2025, 5AM",26
"Jan 11, 2025, 6AM",108
"Jan 11, 2025, 7AM",167
"Jan 11, 2025, 8AM",292
"Jan 11, 2025, 9AM",553
"Jan 11, 2025, 10AM",702
"Jan 11, 2025, 11AM",681
"Jan 11, 2025, 12PM",685
"Jan 11, 2025, 1PM",800
"Jan 11, 2025, 2PM",880
"Jan 11, 2025, 3PM",802
"Jan 11, 2025, 4PM",778
"Jan 11, 2025, 5PM",904
"Jan 11, 2025, 6PM",957
"Jan 11, 2025, 7PM",975
"Jan 11, 2025, 8PM",1406
"Jan 11, 2025, 9PM",1433
"Jan 11, 2025, 10PM",221
"Jan 11, 2025, 11PM",942
"Jan 12, 2025, 12AM",613
"Jan 12, 2025, 1AM",398
"Jan 12, 2025, 2AM",240
"Jan 12, 2025, 3AM",145
"Jan 12, 2025, 4AM",116
"Jan 12, 2025, 5AM",33
"Jan 12, 2025, 6AM",74
"Jan 12, 2025, 7AM",213
"Jan 12, 2025, 8AM",255
"Jan 12, 2025, 9AM",487
"Jan 12, 2025, 10AM",576
"Jan 12, 2025, 11AM",664
"Jan 12, 2025, 12PM",662
"Jan 12, 2025, 1PM",860
"Jan 12, 2025, 2PM",767
"Jan 12, 2025, 3PM",874
"Jan 12, 2025, 4PM",748
"Jan 12, 2025, 5PM",816
"Jan 12, 2025, 6PM",970
"Jan 12, 2025, 7PM",1110
"Jan 12, 2025, 8PM",1233
"Jan 12, 2025, 9PM",1258
"Jan 12, 2025, 10PM",1478
"Jan 12, 2025, 11PM",744
"Jan 13, 2025, 12AM",558
"Jan 13, 2025, 1AM",242
"Jan 13, 2025, 2AM",81
"Jan 13, 2025, 3AM",78
"Jan 13, 2025, 4AM",70
"Jan 13, 2025, 5AM",73
"Jan 13, 2025, 6AM",144
"Jan 13, 2025, 7AM",171
"Jan 13, 2025, 8AM",377
"Jan 13, 2025, 9AM",656
"Jan 13, 2025, 10AM",970
"Jan 13, 2025, 11AM",1013
"Jan 13, 2025, 12PM",1103
"Jan 13, 2025, 1PM",827
"Jan 13, 2025, 2PM",933
"Jan 13, 2025, 3PM",989
"Jan 13, 2025, 4PM",1187
"Jan 13, 2025, 5PM",1090
"Jan 13, 2025, 6PM",983
"Jan 13, 2025, 7PM",911
"Jan 13, 2025, 8PM",1111
"Jan 13, 2025, 9PM",1536
"Jan 13, 2025, 10PM",1009
"Jan 13, 2025, 11PM",791
"Jan 14, 2025, 12AM",425
"Jan 14, 2025, 1AM",296
"Jan 14, 2025, 2AM",103
"Jan 14, 2025, 3AM",133
"Jan 14, 2025, 4AM",74
"Jan 14, 2025, 5AM",61
"Jan 14, 2025, 6AM",106
"Jan 14, 2025, 7AM",135
"Jan 14, 2025, 8AM",411
"Jan 14, 2025, 9AM",662
"Jan 14, 2025, 10AM",905
"Jan 14, 2025, 11AM",927
"Jan 14, 2025, 12PM",968
"Jan 14, 2025, 1PM",765
"Jan 14, 2025, 2PM",879
"Jan 14, 2025, 3PM",873
"Jan 14, 2025, 4PM",984
"Jan 14, 2025, 5PM",1073
"Jan 14, 2025, 6PM",823
"Jan 14, 2025, 7PM",766
"Jan 14, 2025, 8PM",916
"Jan 14, 2025, 9PM",1257
"Jan 14, 2025, 10PM",840
"Jan 14, 2025, 11PM",595
"Jan 15, 2025, 12AM",404
"Jan 15, 2025, 1AM",235
"Jan 15, 2025, 2AM",97
"Jan 15, 2025, 3AM",65
"Jan 15, 2025, 4AM",58
"Jan 15, 2025, 5AM",51
"Jan 15, 2025, 6AM",83
"Jan 15, 2025, 7AM",209
"Jan 15, 2025, 8AM",400
"Jan 15, 2025, 9AM",594
"Jan 15, 2025, 10AM",668
"Jan 15, 2025, 11AM",916
"Jan 15, 2025, 12PM",895
"Jan 15, 2025, 1PM",798
"Jan 15, 2025, 2PM",792
"Jan 15, 2025, 3PM",895
"Jan 15, 2025, 4PM",915
"Jan 15, 2025, 5PM",941
"Jan 15, 2025, 6PM",841
"Jan 15, 2025, 7PM",871
"Jan 15, 2025, 8PM",1097
"Jan 15, 2025, 9PM",1424
"Jan 15, 2025, 10PM",1126
"Jan 15, 2025, 11PM",866
"Jan 16, 2025, 12AM",491
"Jan 16, 2025, 1AM",171
"Jan 16, 2025, 2AM",71
"Jan 16, 2025, 3AM",106
"Jan 16, 2025, 4AM",61
"Jan 16, 2025, 5AM",39
"Jan 16, 2025, 6AM",86
"Jan 16, 2025, 7AM",228
"Jan 16, 2025, 8AM",421
"Jan 16, 2025, 9AM",735
"Jan 16, 2025, 10AM",741
"Jan 16, 2025, 11AM",1119
"Jan 16, 2025, 12PM",1041
"Jan 16, 2025, 1PM",813
"Jan 16, 2025, 2PM",976
"Jan 16, 2025, 3PM",1023
"Jan 16, 2025, 4PM",1004
"Jan 16, 2025, 5PM",1114
"Jan 16, 2025, 6PM",907
"Jan 16, 2025, 7PM",939
"Jan 16, 2025, 8PM",1001
"Jan 16, 2025, 9PM",1179
"Jan 16, 2025, 10PM",1139
"Jan 16, 2025, 11PM",772
"Jan 17, 2025, 12AM",493
"Jan 17, 2025, 1AM",244
"Jan 17, 2025, 2AM",158
"Jan 17, 2025, 3AM",52
"Jan 17, 2025, 4AM",47
"Jan 17, 2025, 5AM",74
"Jan 17, 2025, 6AM",112
"Jan 17, 2025, 7AM",279
"Jan 17, 2025, 8AM",530
"Jan 17, 2025, 9AM",700
"Jan 17, 2025, 10AM",793
"Jan 17, 2025, 11AM",842
"Jan 17, 2025, 12PM",1095
"Jan 17, 2025, 1PM",877
"Jan 17, 2025, 2PM",1107
"Jan 17, 2025, 3PM",1245
"Jan 17, 2025, 4PM",1182
"Jan 17, 2025, 5PM",1022
"Jan 17, 2025, 6PM",878
"Jan 17, 2025, 7PM",966
"Jan 17, 2025, 8PM",1034
"Jan 17, 2025, 9PM",1455
"Jan 17, 2025, 10PM",1110
"Jan 17, 2025, 11PM",858
"Jan 18, 2025, 12AM",482
"Jan 18, 2025, 1AM",258
"Jan 18, 2025, 2AM",183
"Jan 18, 2025, 3AM",101
"Jan 18, 2025, 4AM",28
