Date + hour (YYYYMMDDHH),Views
"Jan 8, 2025, 7AM",198
"Jan 8, 2025, 8AM",339
"Jan 8, 2025, 9AM",682
"Jan 8, 2025, 10AM",801
"Jan 8, 2025, 11AM",906
"Jan 8, 2025, 12PM",976
"Jan 8, 2025, 1PM",715
"Jan 8, 2025, 2PM",1015
"Jan 8, 2025, 3PM",892
"Jan 8, 2025, 4PM",1060
"Jan 8, 2025, 5PM",890
"Jan 8, 2025, 6PM",802
"Jan 8, 2025, 7PM",642
"Jan 8, 2025, 8PM",924
"Jan 8, 2025, 9PM",965
"Jan 8, 2025, 10PM",812
"Jan 8, 2025, 11PM",756
"Jan 9, 2025, 12AM",451
"Jan 9, 2025, 1AM",199
"Jan 9, 2025, 2AM",181
"Jan 9, 2025, 3AM",133
"Jan 9, 2025, 4AM",101
"Jan 9, 2025, 5AM",53
"Jan 9, 2025, 6AM",168
"Jan 9, 2025, 7AM",167
"Jan 9, 2025, 8AM",411
"Jan 9, 2025, 9AM",606
"Jan 9, 2025, 10AM",643
"Jan 9, 2025, 11AM",701
"Jan 9, 2025, 12PM",651
"Jan 9, 2025, 1PM",744
"Jan 9, 2025, 2PM",824
"Jan 9, 2025, 3PM",897
"Jan 9, 2025, 4PM",917
"Jan 9, 2025, 5PM",898
"Jan 9, 2025, 6PM",838
"Jan 9, 2025, 7PM",880
"Jan 9, 2025, 8PM",802
"Jan 9, 2025, 9PM",1088
"Jan 9, 2025, 10PM",1060
"Jan 9, 2025, 11PM",799
"Jan 10, 2025, 12AM",398
"Jan 10, 2025, 1AM",197
"Jan 10, 2025, 2AM",125
"Jan 10, 2025, 3AM",66
"Jan 10, 2025, 4AM",153
"Jan 10, 2025, 5AM",70
"Jan 10, 2025, 6AM",171
"Jan 10, 2025, 7AM",214
"Jan 10, 2025, 8AM",441
"Jan 10, 2025, 9AM",727
"Jan 10, 2025, 10AM",874
"Jan 10, 2025, 11AM",690
"Jan 10, 2025, 12PM",641
"Jan 10, 2025, 1PM",743
"Jan 10, 2025, 2PM",857
"Jan 10, 2025, 3PM",984
"Jan 10, 2025, 4PM",831
"Jan 10, 2025, 5PM",794
"Jan 10, 2025, 6PM",761
"Jan 10, 2025, 7PM",1016
"Jan 10, 2025, 8PM",1023
"Jan 10, 2025, 9PM",982
"Jan 10, 2025, 10PM",805
"Jan 10, 2025, 11PM",774
"Jan 11, 2025, 12AM",490
"Jan 11, 2025, 1AM",411
"Jan 11, 2025, 2AM",232
"Jan 11, 2025, 3AM",90
"Jan 11, 2025, 4AM",163
"Jan 11, 2025, 5AM",94
"Jan 11, 2025, 6AM",151
"Jan 11, 2025, 7AM",198
"Jan 11, 2025, 8AM",349
"Jan 11, 2025, 9AM",437
"Jan 11, 2025, 10AM",570
"Jan 11, 2025, 11AM",805
"Jan 11, 2025, 12PM",673
"Jan 11, 2025, 1PM",707
"Jan 11, 2025, 2PM",864
"Jan 11, 2025, 3PM",680
"Jan 11, 2025, 4PM",718
"Jan 11, 2025, 5PM",765
"Jan 11, 2025, 6PM",988
"Jan 11, 2025, 7PM",1086
"Jan 11, 2025, 8PM",833
"Jan 11, 2025, 9PM",834
"Jan 11, 2025, 10PM",1021
"Jan 11, 2025, 11PM",908
"Jan 12, 2025, 12AM",513
"Jan 12, 2025, 1AM",370
"Jan 12, 2025, 2AM",185
"Jan 12, 2025, 3AM",189
"Jan 12, 2025, 4AM",106
"Jan 12, 2025, 5AM",59
"Jan 12, 2025, 6AM",81
"Jan 12, 2025, 7AM",112
"Jan 12, 2025, 8AM",224
"Jan 12, 2025, 9AM",365
"Jan 12, 2025, 10AM",503
"Jan 12, 2025, 11AM",642
"Jan 12, 2025, 12PM",657
"Jan 12, 2025, 1PM",711
"Jan 12, 2025, 2PM",584
"Jan 12, 2025, 3PM",608
"Jan 12, 2025, 4PM",562
"Jan 12, 2025, 5PM",662
"Jan 12, 2025, 6PM",853
"Jan 12, 2025, 7PM",833
"Jan 12, 2025, 8PM",882
"Jan 12, 2025, 9PM",1024
"Jan 12, 2025, 10PM",926
"Jan 12, 2025, 11PM",711
"Jan 13, 2025, 12AM",607
"Jan 13, 2025, 1AM",286
"Jan 13, 2025, 2AM",135
"Jan 13, 2025, 3AM",115
"Jan 13, 2025, 4AM",154
"Jan 13, 2025, 5AM",80
"Jan 13, 2025, 6AM",103
"Jan 13, 2025, 7AM",157
"Jan 13, 2025, 8AM",274
"Jan 13, 2025, 9AM",552
"Jan 13, 2025, 10AM",801
"Jan 13, 2025, 11AM",822
"Jan 13, 2025, 12PM",872
"Jan 13, 2025, 1PM",836
"Jan 13, 2025, 2PM",835
"Jan 13, 2025, 3PM",837
"Jan 13, 2025, 4PM",800
"Jan 13, 2025, 5PM",759
"Jan 13, 2025, 6PM",828
"Jan 13, 2025, 7PM",915
"Jan 13, 2025, 8PM",889
"Jan 13, 2025, 9PM",1143
"Jan 13, 2025, 10PM",1003
"Jan 13, 2025, 11PM",710
"Jan 14, 2025, 12AM",438
"Jan 14, 2025, 1AM",154
"Jan 14, 2025, 2AM",99
"Jan 14, 2025, 3AM",42
"Jan 14, 2025, 4AM",59
"Jan 14, 2025, 5AM",39
