Date + hour (YYYYMMDDHH),Views
"Sep 10, 2025, 8AM",26
"Sep 10, 2025, 9AM",8
"Sep 10, 2025, 10AM",3
"Sep 10, 2025, 11AM",6
"Sep 10, 2025, 12PM",7
"Sep 10, 2025, 1PM",13
"Sep 10, 2025, 2PM",5
"Sep 10, 2025, 3PM",8
"Sep 10, 2025, 4PM",10
"Sep 10, 2025, 5PM",2
"Sep 10, 2025, 6PM",1
"Sep 10, 2025, 7PM",33
"Sep 10, 2025, 8PM",21
"Sep 10, 2025, 9PM",0
"Sep 10, 2025, 10PM",9
"Sep 10, 2025, 11PM",8
"Sep 11, 2025, 12AM",1
"Sep 11, 2025, 5AM",1
"Sep 11, 2025, 6AM",1
"Sep 11, 2025, 7AM",1
"Sep 11, 2025, 8AM",8
"Sep 11, 2025, 9AM",3
"Sep 11, 2025, 10AM",2
"Sep 11, 2025, 11AM",24
"Sep 11, 2025, 12PM",5
"Sep 11, 2025, 1PM",30
"Sep 11, 2025, 2PM",20
"Sep 11, 2025, 3PM",6
"Sep 11, 2025, 4PM",2
"Sep 11, 2025, 5PM",9
"Sep 11, 2025, 6PM",5
"Sep 11, 2025, 8PM",1
"Sep 11, 2025, 9PM",6
"Sep 12, 2025, 8AM",20
"Sep 12, 2025, 9AM",1
"Sep 12, 2025, 10AM",1
"Sep 12, 2025, 11AM",15
"Sep 12, 2025, 12PM",11
"Sep 12, 2025, 1PM",15
"Sep 12, 2025, 2PM",5
"Sep 12, 2025, 3PM",22
"Sep 12, 2025, 4PM",5
"Sep 12, 2025, 5PM",0
"Sep 12, 2025, 7PM",7
"Sep 12, 2025, 8PM",2
"Sep 12, 2025, 9PM",3
"Sep 12, 2025, 10PM",3
"Sep 12, 2025, 11PM",0
"Sep 13, 2025, 7AM",1
"Sep 13, 2025, 10AM",0
"Sep 13, 2025, 11AM",7
"Sep 13, 2025, 12PM",3
"Sep 13, 2025, 1PM",1
"Sep 13, 2025, 2PM",1
"Sep 13, 2025, 4PM",2
"Sep 13, 2025, 5PM",4
"Sep 13, 2025, 6PM",5
"Sep 13, 2025, 7PM",2
"Sep 13, 2025, 9PM",4
"Sep 13, 2025, 11PM",2
"Sep 14, 2025, 1AM",0
"Sep 14, 2025, 6AM",2
"Sep 14, 2025, 7AM",4
"Sep 14, 2025, 9AM",3
"Sep 14, 2025, 10AM",9
"Sep 14, 2025, 12PM",1
"Sep 14, 2025, 1PM",2
"Sep 14, 2025, 2PM",0
"Sep 14, 2025, 3PM",6
"Sep 14, 2025, 4PM",5
"Sep 14, 2025, 6PM",1
"Sep 14, 2025, 7PM",0
"Sep 14, 2025, 9PM",1
"Sep 14, 2025, 10PM",1
"Sep 15, 2025, 7AM",4
"Sep 15, 2025, 8AM",1
"Sep 15, 2025, 9AM",0
"Sep 15, 2025, 10AM",11
"Sep 15, 2025, 12PM",4
"Sep 15, 2025, 1PM",9
"Sep 15, 2025, 2PM",3
"Sep 15, 2025, 3PM",9
"Sep 15, 2025, 4PM",9
"Sep 15, 2025, 5PM",3
"Sep 15, 2025, 10PM",7
"Sep 15, 2025, 11PM",3
"Sep 16, 2025, 8AM",0
"Sep 16, 2025, 9AM",1
"Sep 16, 2025, 10AM",11
"Sep 16, 2025, 11AM",2
"Sep 16, 2025, 1PM",0
"Sep 16, 2025, 3PM",12
"Sep 16, 2025, 6PM",4
"Sep 16, 2025, 7PM",1
"Sep 16, 2025, 11PM",1
"Sep 17, 2025, 8AM",5
"Sep 17, 2025, 9AM",26
"Sep 17, 2025, 10AM",16
"Sep 17, 2025, 11AM",4
"Sep 17, 2025, 12PM",14
"Sep 17, 2025, 1PM",1
"Sep 17, 2025, 3PM",0
"Sep 17, 2025, 4PM",1
"Sep 17, 2025, 6PM",10
"Sep 18, 2025, 1AM",3
"Sep 18, 2025, 6AM",1
"Sep 18, 2025, 7AM",0
"Sep 18, 2025, 8AM",1
"Sep 18, 2025, 9AM",1
"Sep 18, 2025, 10AM",10
"Sep 18, 2025, 11AM",1
"Sep 18, 2025, 12PM",2
"Sep 18, 2025, 2PM",2
"Sep 18, 2025, 3PM",12
"Sep 18, 2025, 4PM",1
"Sep 18, 2025, 6PM",11
"Sep 18, 2025, 7PM",1
"Sep 18, 2025, 9PM",5
"Sep 18, 2025, 10PM",0
"Sep 19, 2025, 7AM",1
"Sep 19, 2025, 10AM",3
"Sep 19, 2025, 11AM",1
"Sep 19, 2025, 12PM",15
"Sep 19, 2025, 1PM",6
"Sep 19, 2025, 2PM",4
"Sep 19, 2025, 3PM",1
"Sep 19, 2025, 5PM",1
"Sep 19, 2025, 8PM",3
"Sep 19, 2025, 10PM",1
"Sep 20, 2025, 7AM",1
"Sep 20, 2025, 8AM",0
"Sep 20, 2025, 11AM",1
"Sep 20, 2025, 12PM",4
"Sep 20, 2025, 8PM",1
"Sep 21, 2025, 1PM",0
"Sep 21, 2025, 2PM",1
"Sep 21, 2025, 3PM",1
"Sep 21, 2025, 4PM",1
"Sep 21, 2025, 8PM",7
"Sep 21, 2025, 11PM",0
"Sep 22, 2025, 12AM",3
"Sep 22, 2025, 8AM",11
"Sep 22, 2025, 9AM",6
"Sep 22, 2025, 10AM",8
"Sep 22, 2025, 11AM",12
"Sep 22, 2025, 12PM",1
"Sep 22, 2025, 2PM",7
"Sep 22, 2025, 3PM",24
"Sep 22, 2025, 4PM",5
"Sep 22, 2025, 5PM",0
"Sep 22, 2025, 6PM",1
"Sep 22, 2025, 8PM",0
"Sep 22, 2025, 9PM",4
"Sep 22, 2025, 10PM",4
"Sep 22, 2025, 11PM",28
"Sep 23, 2025, 7AM",5
"Sep 23, 2025, 8AM",22
"Sep 23, 2025, 9AM",19
"Sep 23, 2025, 10AM",19
"Sep 23, 2025, 11AM",7
"Sep 23, 2025, 12PM",3
"Sep 23, 2025, 2PM",19
"Sep 23, 2025, 3PM",38
"Sep 23, 2025, 5PM",1
"Sep 23, 2025, 7PM",1
"Sep 23, 2025, 8PM",0
"Sep 23, 2025, 10PM",0
"Sep 23, 2025, 11PM",1
"Sep 24, 2025, 7AM",0
"Sep 24, 2025, 9AM",25
"Sep 24, 2025, 10AM",2
"Sep 24, 2025, 11AM",1
"Sep 24, 2025, 12PM",1
"Sep 24, 2025, 1PM",17
"Sep 24, 2025, 2PM",10
"Sep 24, 2025, 3PM",0
"Sep 24, 2025, 4PM",4
"Sep 24, 2025, 5PM",0
"Sep 24, 2025, 8PM",6
"Sep 24, 2025, 9PM",1
"Sep 24, 2025, 11PM",3
