Date + hour (YYYYMMDDHH),Views
"Sep 1, 2025, 11PM",2
"Sep 2, 2025, 9AM",1
"Sep 2, 2025, 11AM",4
"Sep 2, 2025, 12PM",3
"Sep 2, 2025, 3PM",2
"Sep 2, 2025, 4PM",1
"Sep 2, 2025, 9PM",2
"Sep 2, 2025, 10PM",1
"Sep 3, 2025, 2AM",1
"Sep 3, 2025, 7AM",2
"Sep 3, 2025, 8AM",6
"Sep 3, 2025, 11AM",1
"Sep 3, 2025, 12PM",4
"Sep 3, 2025, 1PM",2
"Sep 3, 2025, 5PM",1
"Sep 3, 2025, 6PM",0
"Sep 3, 2025, 7PM",3
"Sep 4, 2025, 9AM",0
"Sep 4, 2025, 10AM",2
"Sep 4, 2025, 12PM",2
"Sep 4, 2025, 2PM",2
"Sep 4, 2025, 8PM",7
"Sep 4, 2025, 9PM",2
"Sep 4, 2025, 11PM",1
"Sep 5, 2025, 12AM",1
"Sep 5, 2025, 1AM",8
"Sep 5, 2025, 5AM",1
"Sep 5, 2025, 6AM",1
"Sep 5, 2025, 7AM",2
"Sep 5, 2025, 9AM",0
"Sep 5, 2025, 10AM",1
"Sep 5, 2025, 11AM",2
"Sep 5, 2025, 1PM",3
"Sep 5, 2025, 2PM",6
"Sep 5, 2025, 3PM",2
"Sep 5, 2025, 4PM",1
"Sep 5, 2025, 5PM",3
"Sep 5, 2025, 6PM",4
"Sep 5, 2025, 8PM",3
"Sep 5, 2025, 11PM",3
"Sep 6, 2025, 12AM",3
"Sep 6, 2025, 8AM",2
"Sep 6, 2025, 9AM",2
"Sep 6, 2025, 10AM",2
"Sep 6, 2025, 11AM",3
"Sep 6, 2025, 12PM",2
"Sep 6, 2025, 1PM",2
"Sep 6, 2025, 3PM",4
"Sep 6, 2025, 6PM",3
"Sep 6, 2025, 7PM",4
"Sep 6, 2025, 8PM",4
"Sep 6, 2025, 11PM",3
"Sep 7, 2025, 12AM",2
"Sep 7, 2025, 6AM",3
"Sep 7, 2025, 7AM",5
"Sep 7, 2025, 9AM",1
"Sep 7, 2025, 7PM",1
"Sep 7, 2025, 8PM",1
"Sep 7, 2025, 9PM",1
"Sep 7, 2025, 11PM",3
"Sep 8, 2025, 8AM",1
"Sep 8, 2025, 9AM",2
"Sep 8, 2025, 12PM",10
"Sep 8, 2025, 1PM",1
"Sep 8, 2025, 3PM",4
"Sep 8, 2025, 4PM",2
"Sep 8, 2025, 7PM",4
"Sep 8, 2025, 8PM",1
"Sep 8, 2025, 9PM",4
"Sep 9, 2025, 12AM",1
"Sep 9, 2025, 7AM",1
"Sep 9, 2025, 8AM",2
"Sep 9, 2025, 9AM",5
"Sep 9, 2025, 10AM",8
"Sep 9, 2025, 12PM",5
"Sep 9, 2025, 1PM",9
"Sep 9, 2025, 2PM",2
"Sep 9, 2025, 3PM",3
"Sep 9, 2025, 5PM",5
"Sep 9, 2025, 9PM",10
"Sep 9, 2025, 11PM",3
"Sep 10, 2025, 5AM",1
"Sep 10, 2025, 7AM",3
"Sep 10, 2025, 8AM",1
"Sep 10, 2025, 9AM",4
"Sep 10, 2025, 10AM",4
"Sep 10, 2025, 11AM",1
"Sep 10, 2025, 12PM",3
"Sep 10, 2025, 1PM",2
"Sep 10, 2025, 2PM",0
"Sep 10, 2025, 3PM",5
"Sep 10, 2025, 4PM",1
"Sep 10, 2025, 5PM",3
"Sep 10, 2025, 6PM",2
"Sep 10, 2025, 9PM",3
"Sep 10, 2025, 10PM",5
"Sep 10, 2025, 11PM",3
"Sep 11, 2025, 6AM",5
"Sep 11, 2025, 8AM",14
"Sep 11, 2025, 9AM",6
"Sep 11, 2025, 10AM",4
"Sep 11, 2025, 11AM",1
"Sep 11, 2025, 12PM",4
"Sep 11, 2025, 1PM",4
"Sep 11, 2025, 2PM",1
"Sep 11, 2025, 3PM",3
"Sep 11, 2025, 4PM",9
"Sep 11, 2025, 5PM",3
"Sep 11, 2025, 6PM",4
"Sep 11, 2025, 7PM",4
"Sep 11, 2025, 8PM",2
"Sep 11, 2025, 9PM",2
"Sep 11, 2025, 10PM",2
"Sep 12, 2025, 12AM",3
"Sep 12, 2025, 6AM",1
"Sep 12, 2025, 8AM",4
"Sep 12, 2025, 10AM",3
"Sep 12, 2025, 11AM",19
"Sep 12, 2025, 12PM",3
"Sep 12, 2025, 1PM",2
"Sep 12, 2025, 3PM",5
"Sep 12, 2025, 4PM",3
"Sep 12, 2025, 5PM",2
"Sep 12, 2025, 6PM",2
"Sep 12, 2025, 7PM",9
"Sep 12, 2025, 8PM",9
"Sep 12, 2025, 10PM",1
"Sep 12, 2025, 11PM",1
"Sep 13, 2025, 12AM",1
"Sep 13, 2025, 6AM",2
"Sep 13, 2025, 8AM",2
"Sep 13, 2025, 9AM",6
"Sep 13, 2025, 10AM",6
"Sep 13, 2025, 11AM",3
"Sep 13, 2025, 12PM",2
"Sep 13, 2025, 1PM",6
"Sep 13, 2025, 2PM",3
"Sep 13, 2025, 3PM",3
"Sep 13, 2025, 5PM",2
"Sep 13, 2025, 7PM",6
"Sep 13, 2025, 10PM",3
"Sep 13, 2025, 11PM",6
"Sep 14, 2025, 6AM",3
"Sep 14, 2025, 7AM",2
"Sep 14, 2025, 11AM",3
"Sep 14, 2025, 12PM",2
"Sep 14, 2025, 1PM",4
"Sep 14, 2025, 2PM",6
"Sep 14, 2025, 4PM",4
"Sep 14, 2025, 5PM",6
"Sep 14, 2025, 6PM",1
"Sep 14, 2025, 8PM",1
"Sep 14, 2025, 9PM",1
"Sep 14, 2025, 10PM",3
