Date + hour (YYYYMMDDHH),Views
"Jan 8, 2025, 12PM",34
"Jan 8, 2025, 1PM",62
"Jan 8, 2025, 2PM",100
"Jan 8, 2025, 3PM",69
"Jan 8, 2025, 4PM",65
"Jan 8, 2025, 5PM",106
"Jan 8, 2025, 6PM",71
"Jan 8, 2025, 7PM",102
"Jan 8, 2025, 8PM",122
"Jan 8, 2025, 9PM",111
"Jan 8, 2025, 10PM",71
"Jan 8, 2025, 11PM",40
"Jan 9, 2025, 12AM",17
"Jan 9, 2025, 1AM",5
"Jan 9, 2025, 2AM",6
"Jan 9, 2025, 3AM",2
"Jan 9, 2025, 4AM",2
"Jan 9, 2025, 5AM",9
"Jan 9, 2025, 6AM",6
"Jan 9, 2025, 7AM",7
"Jan 9, 2025, 8AM",74
"Jan 9, 2025, 9AM",74
"Jan 9, 2025, 10AM",69
"Jan 9, 2025, 11AM",83
"Jan 9, 2025, 12PM",45
"Jan 9, 2025, 1PM",67
"Jan 9, 2025, 2PM",77
"Jan 9, 2025, 3PM",71
"Jan 9, 2025, 4PM",194
"Jan 9, 2025, 5PM",200
"Jan 9, 2025, 6PM",135
"Jan 9, 2025, 7PM",71
"Jan 9, 2025, 8PM",87
"Jan 9, 2025, 9PM",151
"Jan 9, 2025, 10PM",103
"Jan 9, 2025, 11PM",95
"Jan 10, 2025, 12AM",25
"Jan 10, 2025, 1AM",22
"Jan 10, 2025, 2AM",17
"Jan 10, 2025, 3AM",24
"Jan 10, 2025, 4AM",18
"Jan 10, 2025, 5AM",25
"Jan 10, 2025, 6AM",79
"Jan 10, 2025, 7AM",238
"Jan 10, 2025, 8AM",273
"Jan 10, 2025, 9AM",266
"Jan 10, 2025, 10AM",246
"Jan 10, 2025, 11AM",268
"Jan 10, 2025, 12PM",218
"Jan 10, 2025, 1PM",174
"Jan 10, 2025, 2PM",155
"Jan 10, 2025, 3PM",218
"Jan 10, 2025, 4PM",131
"Jan 10, 2025, 5PM",137
"Jan 10, 2025, 6PM",99
"Jan 10, 2025, 7PM",96
"Jan 10, 2025, 8PM",85
"Jan 10, 2025, 9PM",111
"Jan 10, 2025, 10PM",60
"Jan 10, 2025, 11PM",63
"Jan 11, 2025, 12AM",28
"Jan 11, 2025, 1AM",35
"Jan 11, 2025, 2AM",12
"Jan 11, 2025, 3AM",5
"Jan 11, 2025, 4AM",6
"Jan 11, 2025, 5AM",15
"Jan 11, 2025, 6AM",20
"Jan 11, 2025, 7AM",60
"Jan 11, 2025, 8AM",94
"Jan 11, 2025, 9AM",89
"Jan 11, 2025, 10AM",52
"Jan 11, 2025, 11AM",39
"Jan 11, 2025, 12PM",64
"Jan 11, 2025, 1PM",101
"Jan 11, 2025, 2PM",81
"Jan 11, 2025, 3PM",108
"Jan 11, 2025, 4PM",80
"Jan 11, 2025, 5PM",136
"Jan 11, 2025, 6PM",52
"Jan 11, 2025, 7PM",72
"Jan 11, 2025, 8PM",64
"Jan 11, 2025, 9PM",111
"Jan 11, 2025, 10PM",62
"Jan 11, 2025, 11PM",83
"Jan 12, 2025, 12AM",32
"Jan 12, 2025, 1AM",2
"Jan 12, 2025, 2AM",7
"Jan 12, 2025, 3AM",3
"Jan 12, 2025, 4AM",15
"Jan 12, 2025, 5AM",3
"Jan 12, 2025, 6AM",11
"Jan 12, 2025, 7AM",15
"Jan 12, 2025, 8AM",54
"Jan 12, 2025, 9AM",40
"Jan 12, 2025, 10AM",63
"Jan 12, 2025, 11AM",34
"Jan 12, 2025, 12PM",53
"Jan 12, 2025, 1PM",51
"Jan 12, 2025, 2PM",50
"Jan 12, 2025, 3PM",63
"Jan 12, 2025, 4PM",58
"Jan 12, 2025, 5PM",73
"Jan 12, 2025, 6PM",83
"Jan 12, 2025, 7PM",89
"Jan 12, 2025, 8PM",92
"Jan 12, 2025, 9PM",106
"Jan 12, 2025, 10PM",61
"Jan 12, 2025, 11PM",40
"Jan 13, 2025, 12AM",11
"Jan 13, 2025, 1AM",8
"Jan 13, 2025, 2AM",5
"Jan 13, 2025, 3AM",1
"Jan 13, 2025, 4AM",3
"Jan 13, 2025, 5AM",16
"Jan 13, 2025, 6AM",14
"Jan 13, 2025, 7AM",23
"Jan 13, 2025, 8AM",47
"Jan 13, 2025, 9AM",58
"Jan 13, 2025, 10AM",75
"Jan 13, 2025, 11AM",131
"Jan 13, 2025, 12PM",72
"Jan 13, 2025, 1PM",63
"Jan 13, 2025, 2PM",117
"Jan 13, 2025, 3PM",67
"Jan 13, 2025, 4PM",65
"Jan 13, 2025, 5PM",38
"Jan 13, 2025, 6PM",56
"Jan 13, 2025, 7PM",36
"Jan 13, 2025, 8PM",74
"Jan 13, 2025, 9PM",87
"Jan 13, 2025, 10PM",48
"Jan 13, 2025, 11PM",17
"Jan 14, 2025, 12AM",7
"Jan 14, 2025, 1AM",1
"Jan 14, 2025, 2AM",6
"Jan 14, 2025, 3AM",4
"Jan 14, 2025, 4AM",6
"Jan 14, 2025, 5AM",1
"Jan 14, 2025, 6AM",11
"Jan 14, 2025, 7AM",18
"Jan 14, 2025, 8AM",50
"Jan 14, 2025, 9AM",76
"Jan 14, 2025, 10AM",98
"Jan 14, 2025, 11AM",59
"Jan 14, 2025, 12PM",59
"Jan 14, 2025, 1PM",59
"Jan 14, 2025, 2PM",129
"Jan 14, 2025, 3PM",101
"Jan 14, 2025, 4PM",85
"Jan 14, 2025, 5PM",63
"Jan 14, 2025, 6PM",25
"Jan 14, 2025, 7PM",70
"Jan 14, 2025, 8PM",37
"Jan 14, 2025, 9PM",51
"Jan 14, 2025, 10PM",53
"Jan 14, 2025, 11PM",29
"Jan 15, 2025, 12AM",10
"Jan 15, 2025, 1AM",1
"Jan 15, 2025, 2AM",2
"Jan 15, 2025, 3AM",1
"Jan 15, 2025, 4AM",1
"Jan 15, 2025, 5AM",1
"Jan 15, 2025, 6AM",22
"Jan 15, 2025, 7AM",31
"Jan 15, 2025, 8AM",46
"Jan 15, 2025, 9AM",65
"Jan 15, 2025, 10AM",47
"Jan 15, 2025, 11AM",55
"Jan 15, 2025, 12PM",45
"Jan 15, 2025, 1PM",49
"Jan 15, 2025, 2PM",105
"Jan 15, 2025, 3PM",71
"Jan 15, 2025, 4PM",50
"Jan 15, 2025, 5PM",49
"Jan 15, 2025, 6PM",48
"Jan 15, 2025, 7PM",40
"Jan 15, 2025, 8PM",67
"Jan 15, 2025, 9PM",67
"Jan 15, 2025, 10PM",59
"Jan 15, 2025, 11PM",14
"Jan 16, 2025, 12AM",6
"Jan 16, 2025, 1AM",5
"Jan 16, 2025, 2AM",4
"Jan 16, 2025, 3AM",4
"Jan 16, 2025, 5AM",1
"Jan 16, 2025, 6AM",8
"Jan 16, 2025, 7AM",37
"Jan 16, 2025, 8AM",53
"Jan 16, 2025, 9AM",67
"Jan 16, 2025, 10AM",66
